Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
ajabu	strange [not normal], weird [deviating from the normal; bizarre], odd [strange], peculiar [out of the ordinary]	eigenartig, bizarr, merkwürdig, sonderbar, seltsam, merkwürdig, seltsam, komisch, seltsam, verwunderlich, sonderbar, merkwürdig, seltsam, komisch	merkwaardig, ongewoon, raar, bizar, vreemd, eigenaardig, vreemd, raar, merkwaardig, vreemd, raar, merkwaardig, ongewoon, ongebruikelijk	seldcūþ	ἄτοπος, παράδοξος, ἄτοπος	extraneus	particulier, bizarre, extraordinaire, curieux, bizarre, anormal, étrange, bizarre, étrange	strano, anormale, bislacco, bizzarro, strambo, peculiare, particolare, strano, strano, strambo	стра́нный, осо́бенный, необы́чный, своеобра́зный, стра́нный, причу́дливый, чудно́й, стра́нный, необы́чный, чудно́й, стра́нный	מאָדנע, משונהדיק, משונה, פֿרעמד, מאָדנע, משונהדיק	משונה, משונה, מוּזָר	عَجِيب, غَرِيب	奇怪	奇異な, 風変わりな, 変わった, 変, おかしい, 奇異な, 変な, 風変わりな, 奇妙な, 変, 奇妙	yadırgatıcı, tuhaf, garip, acaip, tuhaf, garip, olağandışı, tuhaf	
ajabuxey	oddity [odd or strange thing]	Merkwürdigkeit <f>					bizarrerie <f>, excentricité <f>	bizzarria <f>								
ajabuya	strangeness [(uncountable) quality of being strange], peculiarity [the quality or state of being peculiar]	Singularität <f>, Einzigartigkeit <f>			ἀτοπία <f>		étrangeté <f>, singularité <f>, bizarrerie <f>, étrangeté <f>		стра́нность <f>			غَرَابَة <f>				
ajabuyen	weirdo [strange person], eccentric [person who does not behave like others]	Exzentrikerin <f>, Exzentriker <m>, Querulant <m>, Spinner <m>, Exzentriker <m>	excentriekeling <m>				loufoque, zarbi, hurluberlu, excentrique <m>/<f>	eccentrico <m>, strambo	чуда́к <m>, эксце́нтрик <m>, чуда́к				怪人	変な人, 変人	zibidi	
ajela																
ajelado	rushed [done in haste]							in fretta e furia, precipitoso					匆忙的			
ajelapul	hastily [in a hasty manner]	eilig, hastig; hastig	haastig		; κραιπνῶς	festīnus, properus; properē	hâtif; à la hâte, hâtivement, précipitamment	frettoloso, affrettato, precipitoso, in fretta e furia, precipitoso; precipitatamente, frettolosamente	спе́шный, поспе́шный; поспе́шно, торопли́во	אײַליק	פזיז	مُتَسَرِّع	匆匆, 匆, 匆忙, 急忙, 匆忙的; 急速地, 趕快地 /赶快地, 快速地, 趕緊 /赶紧, 迅速地, 急忙	軽率; 急に, 急いで	aceleci; aceleyle	
akaci	acacia [shrub or tree]	Akazie <f>	acacia <m>		ἀκακία <f>	acacia <f>	acacia <m>	acacia <f>	ака́ция <f>		שיטה <f>	سَنْط, قَرَظ, طَلْح, أَقَاقِيَا		アカシア	akasya	
Akade	Akkad [capital city of the kingdom of Akkad|ancient kingdom of Mesopotamia]	Akkad <n>					Akkad	Akkad <f>, Accad, Akkad <m>	Акка́д <m>		אַכַּד	أَكَّد, أَكَّاد			Akad	
akademi	academy [learned society]	Akademie <f>	academie <f>				académie <f>	accademia <f>	акаде́мия <f>			مَجْمَع <m>, أَكَادِيمِيَّة <f>	學會 /学会	学会, アカデミー, 翰林院	akademi	
akademili		akademisch	universitair, academisch				académique, universitaire	accademico	академи́ческий, университе́тский		אָקָדֵמִי	أَكَادِيمِيّ	學術的 /学术的	大学の, 学問の		
akere	acre [unit of surface area]	Juchart <m>/<f>, Joch Landes <n>, Joch <n>, Morgen <m>, Acker <m>		æcer <m>			acre <f>	acro <m>	акр <m>	אַקער <m>		آكِر <m>	英畝 /英亩	エーカー		
akereje	acreage [land measured in acres]	Anbaufläche <f>					acréage <m>							栽培面積		
akiku																
Akile																
Akileli																
akiletendon	Achilles tendon [strong tendon in the calf of the leg]	Achillessehne <f>	achillespees <f>			tendo Achillis <m>, tendo calcaneus <m>	tendon d’Achille <m>	tendine di Achille <m>	ахи́ллово сухожи́лие <n>, пя́точное сухожи́лие <n>			عُرْقُوب <m>, وَتَر أَخِيل <m>	跟腱	アキレス腱	Aşil tendonu	
akne	acne [a pattern of blemishes resulting from the skin condition]	Akne <f>					acné <f>	acne <f>					粉刺, 痤瘡 /痤疮	面皰, 痤瘡		
aknemon	pustule [a pimple filled with pus], zit [pimple]	Pickel <m>, Pustel <f>							пры́щ <m>							
aknepul																
akonto	account [an authorization to use a service]	Konto <n>	account <m>/<n>				compte <m>	conto <m>, fruizione <f>, utenza <f>	акка́унт <m>, счёт <m>, учётная за́пись <f>			حِسَاب <m>	賬戶 /账户	アカウント		
akorde	chord [combination of three or more notes]	Akkord	akkoord <n>				accord	accordo	акко́рд <m>	אַקאָרד <m>	אָקוֹרְד <m>	اِئْتِلَاف نَغَمَات <m>, وَتَر <m>	和弦, 和音, 弦	和音	akor	
akordyon	accordion [a small, portable, keyed wind instrument]	Handorgel <f>, Schifferklavier <n>, Akkordeon <n>, Ziehharmonika <f>, Quetschkommode <f>, Handharmonika <f>, Quetsche <f>	harmonica <m>, accordeon <n>			accordio <f>	accordéon <m>	fisarmonica <f>	аккордео́н <m>, гармо́ника <f>, гармо́нь <f>, бая́н <m>	אַקאָרדעאָן <m>	אָקּוֹרְדִּיּוֹן <m>	أَكُورْدِيُون <m>	手風琴 /手风琴	手風琴, アコーデオン	akordiyon	
akran	scorpion [any of various arachnids of the order Scorpiones]	Skorpion <m>	schorpioen <m>	þrōwend <m>	σκορπίος <m>	nepa <f>, scorpiō <m>	scorpion <m>	scorpione <m>	скорпио́н <m>	עקדיש <m>, סקאָרפּיאָן <m>	עַקְרָב <m>	عَقْرَبَاء <f>, عُقْرُبَّان <m>, عَقْرَبَة <f>, عَقْرُبَان <m>, عَقْرَب <m>/<f>	蠍子 /蝎子	蝎, サソリ, 蠍	akrep	чаян
akrili	acrylic [derived from acrylic acid or acrylonitrile]		acryl-					acrilico					丙烯酸的			
akrobati																
akrobatili																
akrobatiyen																
akse																
akseli																
aksento	accent [distinctive pronunciation associated with a region, social group, etc.]	Akzent <m>	tongval <m>, accent <n>, uitspraak <f>	accent <m>			accent <m>	calata <f>, cadenza <f>, inflessione <f>, accento <m>	акце́нт <m>, вы́говор <m>, произноше́ние <n>	אַקצענט <m>	מִבְטָא <m>	تَلَفُّظ <m>, لَهْجَة <f>, لُكْنَة <f>, نُطْق <m>	口音, 方音	アクセント, なまり, 話し振り	şive, aksan	
aksetyan																
aksyoma	axiom [mathematics: fundamental assumption|philosophy: supposed self‐evident or necessary truth], postulate [logic: an axiom]	Ausgangspunkt <m>, Grundannahme <f>, Postulat <n>, Axiom <n>, Annahme <f>, Axiom <n>, Postulat <n>, Axiom <n>	axioma <n>, postulaat <n>		ἀξίωμα <n>	axiōma <n>	axiome <m>, postulat <m>	assioma <m>	постула́т <m>, аксио́ма <f>		אַקְסְיוֹמָה <f>	بَدِيهِيَّة <f>	公理	公理	aksiyom	
aksyomali	axiomatically [by the use of axioms]	axiomatisch	vanzelfsprekend		ἀξιωματικός		axiomatique	assiomatico	очеви́дный, не тре́бующий доказа́тельств, аксиомати́ческий				公理的, 不言自明的			
aksyon																
aksyonfil																
aksyonkadam																
akxu																
akxupul																
albatros	albatross [seabird]	Albatros <m>	albatros <m>			diomedea <f>	albatros <m>	albatros <m>, albatro <m>	альбатро́с <m>			قَطْرَس <m>	信天翁	信天翁, アホウドリ, 沖の太夫	albatros	
alegori	allegory [communication in which one or more characters, events, or places are used to reveal a hidden, broader message about real-world issues and occurrences|use of symbols which may be interpreted to reveal a hidden, broader message about real-world issues and occurrences; the interpretation of such symbols]	Sinnbild <n>, Allegorie <f>			ἀλληγορία <f>		allégorie <f>	allegoria <f>	аллего́рия <f>, иносказа́ние <n>		מָשָׁל	تَمْثِيل <m>	託寓 /托寓, 諷喻 /讽喻, 寓言, 諷喻 /讽喻, 寓意, 寓言	アレゴリー, 寓話		
alegorili																
Aleksandro	Alexander [male given name]	Alexander <m>	Alexander <m>		Ἀλέξανδρος <m>	Alexander <m>	Alexandre <m>	Alessandro <m>	Алекса́ндр <m>	אַלעקסאַנדער <m>	אלכסנדר <m>	إِسْكَنْدَر <m>, أَلِكْسَنْدَر <m>, اَلإِسْكَنْدَر <m>	亞歷山大 /亚历山大	アレクサンダー	İskender	Искәндәр
alergi	allergy [disorder of the immune system]	Allergie <f>	allergie <f>				allergie <f>	allergia <f>	аллерги́я <f>	אַלערגיע	אַלֶרגִיָה <f>	أَرَجِيَّة <f>, حَسَّاسِيَّة <f>	過敏 /过敏	アレルギー	alerji	
alergili																
alergipul																
alga	alga [any of many aquatic photosynthetic organisms]	Alge <f>	alg <m>/<f>				algue	alga <f>	во́доросль <f>		אַצָּה <f>	طُحْلُب <m>	藻類 /藻类, 水藻	藻類	su yosunu, alg	суүсемнәр, балыр, балырлар
algafutru	lichen [symbiotic association of algae and fungi]	Flechte <f>	korstmos <n>	ragu <f>	λειχήν <m>	līchēn <m>	lichen <m>	lichene <m>	лиша́йник <m>, лиша́й <m>		חֲזָזִית <f>	حَزَاز <m>, أُشْنَة <f>	地衣	地衣類	liken	лишайник
algoritma	algorithm [well-defined procedure]	Algorithmus <m>	algoritme <n>			algorithmus <m>	algorithme <m>	algoritmo <m>	алгори́тм <m>	אַלגאָריטם <m>	אַלגוֹרִיתְם <m>	خَوَارِزْمِيَّة <f>	算法, 演算法	アルゴリズム, 演算手順, 算法	algoritma	
algoritmali			algoritmisch				algorithmique	algoritmico	алгоритми́ческий							
aligator	alligator [large amphibious reptile of genus Alligator]	Alligator <m>	alligator <m>			alligator <m>	alligator <m>, caïman <m>	alligatore <m>	аллига́тор <m>	אַליגאַטאָר <m>	אָלִיגָטוֹר <m>	تِمْسَاح <m>, قَاطُور <m>, تِمْسَاح أَمْرِيكِيّ <m>, تِمْسَاح اِسْتِوَائِيّ <m>	美洲鱷 /美洲鳄, 短吻鱷 /短吻鳄	ワニ, わに, アリゲーター	timsah, alligator	аллигатор
alim		Lehren <n>, Lehrtätigkeit <f>, Unterrichten <n>, Lehrerberuf <m>, Unterrichtstätigkeit <f>, Unterricht <m>	onderwijs <n>			īnstructiō <f>, auditio, doctrina <f>, disciplina <f>	instruction <f>, enseignement <m>	istruzione <f>, addestramento <m>, tirocinio <m>, insegnamento <m>	обуче́ние <n>, инструкта́ж <m>, наставле́ние <n>, инстру́кция <f>, обуче́ние <n>, преподава́ние <n>		הוראה <f>	تَعْلِيم <m>	教導 /教导, 教學 /教学, 教授	教えること, 教授, 教職		
alimdo																
alimible																
alimli																
alimlogi																
alimlogili																
alimne																
alimxey	teaching [something taught]	Lehre <f>	onderwijzing <f>, leer <f>		διδασκαλία <n>, διδαχή <f>	doctrina <f>, disciplina <f>	enseignement <m>, doctrine <f>	insegnamento <m>	доктри́на <f>, уче́ние <n>				教誨 /教诲, 教導 /教导	教訓, 教え		
alimyen	teacher [woman who teaches|person who teaches], instructor [one who instructs; a teacher]	Lehrerin <f>, Lehrer <m>, Dozent <m>, Lehrende <f>, Lehrerin <f>, Ausbilderin <f>, Lehrer <m>, Dozentin <f>, Lehrender <m>, Ausbilder <m>, Lehrerin <f>	leraar <m>, onderwijzer <m>, docent <m>, schoolmeester <m>, leerkracht <m>, instructrice <f>, leermeesteres <f>, instructeur <m>, leermeester <m>, docente <f>, leerkracht <f>, lerares <f>, onderwijzeres <f>	lārēow <m>	κατηχητής <m>, διδάσκαλος	magistra <f>, doctrix <f>, docens <f>, praeceptrix <f>, praeceptrix <f>, praeceptor <m>, docens <m>/<f>, docens <m>, doctor <m>, litterātor <m>, magister <m>, praeceptor <m>	maître d'école <f>, maîtresse <f>, instructrice <f>, instructeur <m>, professeur <m>, maître d'école <m>, enseignant <m>, instituteur	docente <f>, insegnante <f>, professoressa <f>, maestra <f>, insegnante, istruttore, professore <m>, docente <m>, insegnante <m>, maestro <m>, educatore <m>, precettore <m>, aio <m>	преподава́тельница <f>, тре́нерша <f>, инстру́ктор <m>, инстру́кторша <f>, преподава́тель <m>, учи́тельница <f>, учи́тель <m>, тре́нер <m>, преподава́тельница <f>, наста́вница <f>, преподава́тель <m>, учи́тельница <f>, учи́тель <m>, наста́вник <m>, учи́тельница <f>, наста́вница <f>, преподава́тельница <f>	לערער <m>, לערערין <f>	מוֹרֶה <m>, מוֹרה <m>	مدرس <m>, مُعَلِّم <m>, أستاد, استاذ, معلم, مدرس <m>, مُدَرِّسَة <f>, مُدَرِّس <m>, معلم, أبلة <f>, مُعَلِّمة <f>, أُسْتَاذ <m>, خوجه <m>, أُسْتَاذ <m>, أُسْتَاذَة <f>, مُعَلِّمَة <f>, مدرس, أبلة <f>, أستادة, مدرسة <f>, مُدَرِّسَة <f>, مدرسة <f>, معلمة, ابلة, مُعَلِّمَة <f>, معلمة, معلمة <f>, مُعَلِّم <m>, مُعَلِّمَة <f>	教練 /教练	先生, 教師, インストラクター, 教師	hoca, muallim, öğretmen	остаз, мөгаллим, укытучы
aljebra	algebra [system for computation]	Algebra <f>	stelkunde <f>, algebra <m>				algèbre <f>	algebra <f>	а́лгебра <f>	אַלגעברע <f>	אַלגֶבּרָה <f>	جَبْر <m>, عِلْم الْجَبْر <m>	代數 /代数	代数	cebir	
aljebrali		algebraisch	algebraïsch				algébrique	algebrico	алгебраи́ческий							
alkali	alkali [class of caustic bases]	Alkali <n>	alkali <n>				alcali <m>	base <f>, alcali <m>	щёлочь <f>		אלקלי <m>	قَلَوِيّ <m>	鹼 /碱	アルカリ	alkali	
alkalili	alkaline [of or relating to an alkali]	alkalisch			νιτρώδης		alcalin	alcalino	щелочно́й						alkalin	
alkimi	alchemy [ancient chemistry]	Alchemie <f>	scheikunde <f>, alchemie <f>		χυμεία <f>	alchemia <f>	alchimie <f>	alchimia <f>	алхи́мия <f>		אַלְכִּימְיָה <f>	خِيمِيَاء <f>, اَلْخِيمِيَاء <f>	煉金術 /炼金术	黄金術, 錬金術, 煉丹術	simya	
alkimili	alchemical [pertaining to alchemy]				χυμευτικός		alchimique		алхими́ческий							
alkoba	alcove [small recessed area], niche [cavity, hollow, or recess]	Mauernische <f>, Wandnische <f>, Nische <f>, Mauerrücksprung <m>, Alkov <m>, Alkove <m>/<f>, Alkoven <m>	nis <f>, alkoof <m>/<f>				niche <f>, alcôve <f>	camera da letto <f>, alcova <f>, talamo <m>, nicchia <f>, edicola <f>	ни́ша <f>, алько́в <m>, ни́ша <f>		גֻּמְחָה <f>, נישה <f>, גומחה <f>		壁龕 /壁龛	壁龕		
alkohol		Alkohol <m>	alcohol <m>			alcohol <n>	alcool <m>	alcol <m>, alcole <m>	спирт <m>, алкого́ль <m>	אַלקאָהאָל <m>	אַלְכּוֹהוֹל <m>	غُول <m>, كُحُول <m>	酒精, 醇	アルコール	ruh, sün, alkol	спирт
alkoholdo	drunk [intoxicated after drinking too much alcohol]	betrunken	dronken	druncen	μέθυσος	ūvidus, pōtus, ēlixus, ēbrius	saoul, bourré, paqueté, soûl, ivre, schlass	avvinazzato, ebbro, ubriaco, sbronzo, sborniato	пья́ный, бухо́й	באַטרונקען, שיכּור	שִׁכּוֹר, שָׁתוּי	سَكْرَان, ثَمِل	醉	酔い, 酔っぱらった, 酔っ払い	sarhoş, esrik	
alkoholfilya	alcoholism [chronic disease]	Alkoholismus <m>, Alkoholkrankheit <f>	alcoholisme <n>, drankzucht <m>/<f>				alcoolisme <m>	alcolismo <m>, etilismo <m>	алкоголи́зм <m>	אַלקאָהאָליזם <m>		كُحُولِيَّة <f>	酗酒	アルコール依存症, アル中	alkoliklik	
alkoholfilyen	alcoholic [a person addicted to alcohol]	Alkoholsüchtiger <m>, Alkoholkranker <m>, Alkoholiker <m>, Alkoholikerin <f>, Alkoholkranke <f>	alcoholiste <f>, alcoholist <m>, alcoholicus <m>				alcoolique <m>/<f>	alcoolizzato <m>, alcoldipendente, alcolista	алкоголи́чка <f>, алка́ш <m>, алкого́лик <m>			سِكِّير <m>, سِكِّيرَة <f>	酒精成癮者 /酒精成瘾者	アルコール中毒者	sünger, içkici, alkolik, küplü, ayyaş	
alkoholli	alcoholic [of or pertaining to alcohol]		alcoholisch				alcoolique	alcolico	алкого́льный			رُوحِيّ, كُحُولِيّ	酒精性	アルコール入りの		
almari	cabinet [storage closet], cupboard [enclosed storage]	Schrank <m>, Schrein <m>, Schrank <m>, Gehäuse <n>, Wandschrank <m>, Glasschrank <m>, Aktenschrank <m>, Schubladenschrank <m>, Schränkchen <n>, Vitrine <f>, Kasterl <n>, Kasten <m>	kast <f>			armārium <n>, promptuārium <n>	armoire <f>, placard <m>, armoire <f>	contenitore <m>, guardaroba <m>, pensile <m>, armadio <m>, credenza <f>, armadio <m>	шкаф <m>, стенно́й шкаф <m>, кабине́т <m>, серва́нт <m>, буфе́т <m>, шкаф <m>	וואַנטשאַפֿקע <f>, שאַפֿקע <f>, שאַפֿע <f>	ארונית <f>, ארון <m>, ארונית <f>, ארון <m>, מִזְנוֹן <m>	خِزَانَة <m>	碗櫃 /碗柜, 櫃子 /柜子, 櫥櫃 /橱柜, 櫃子 /柜子	食器棚, キャビネット	dolap	
almasi	diamond [uncountable: mineral]	Diamant <m>	diamant <n>		ἀδάμας <m>	adamas <m>	diamant <m>	diamante <m>	адама́нт <m>, диама́нт <m>, алма́з <m>	דימענט <m>	יַהֲלוֹם	الماظ <m>, مَاس <m>, الماس <m>, أَلْمَاس <m>, ألماس <m>		ダイヤ, 金剛石, ダイヤモンド	elmas	алмаз
almasihalke																
alo	other [not the one previously referred to]	sonstig, andere	ander		ἄλλος, ἕτερος	alter, alius	autre	altro	друго́й, ино́й	אַנדער	אַחֵר	أُخْرَى, آخَر	別的 /别的, 其他的	別の, 他の	öbür, başka, diğer	
alo kom
alo- 																
alocu	change [to become something different]	Wandel <m>, Änderung <f>, Veränderung <f>; sich ändern, sich wandeln, sich verändern	aanpassing <f>, verandering <f>, wijziging <f>; zich aanpassen, veranderen	wending <f>; wendan	ἀλλαγή <f>, μεταβολή <f>; ἀλλάσσω, μεταβάλλω	permutatio, mutatio, cambiatio <f>; cambiō, mūtor	changement <m>, modification <f>, mutation <f>, évolution <f>; muter, changer, se transformer	cambio <m>, cambiamento <m>, modifica <f>; cambiare, mutare	измене́ние <n>, переме́на <f>; изменя́ться, измени́ться, меня́ться	ענדערונג <f>; ענדערן	שִׁנּוּי <m>, הִשְׁתַּנּוּת <f>, שינוי; הִשְׁתַּנָּה	تَبْدِيل <m>, تَغْيِير <m>; تَغَيَّرَƒ	變化 /变化; 改為 /改为, 變化 /变化, 變為 /变为, 改變 /改变, 成為 /成为	変化, 変更; 変化する, 変わる, 化ける	değişim; değişmek	
