eng	leadership	Noun	tr	capacity to lead	tur	liderlik
eng	leadership	Noun	tr	capacity to lead	ukr	лі́дерство
eng	leadership	Noun	tr	capacity to lead	uzb	liderlik
eng	leadership	Noun	tr	capacity to lead	uzb	rahbarlik
eng	leadership	Noun	tr	group of leaders	bel	кіраўні́цтва	n
eng	leadership	Noun	tr	group of leaders	bul	ръково́дство	n
eng	leadership	Noun	tr	group of leaders	mkd	раководство	n
eng	leadership	Noun	tr	group of leaders	pol	kierownictwo	n
eng	leadership	Noun	tr	group of leaders	rus	руково́дство	n
eng	leadership	Noun	tr	group of leaders	ukr	керівни́цтво	n
eng	leadership	Noun	tr	office of leader	cat	prefectura	f
eng	leadership	Noun	tr	office of leader	eus	buruzagitza
eng	leadership	Noun	tr	office of leader	eus	buzagitza
eng	leadership	Noun	tr	office of leader	fin	johto
eng	leadership	Noun	tr	office of leader	glg	xefatura	f
eng	leadership	Noun	tr	office of leader	heb	רָאשׁוּת	f
eng	leadership	Noun	tr	office of leader	kat	ხელმძღვანელობა
eng	leadership	Noun	tr	office of leader	lat	ductus	m
eng	leadership	Noun	tr	office of leader	mkd	раководство	n
