	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Egeria	Proper noun	tr	Asteroid	ell	Ηγερία	f
eng	Egeria	Proper noun	tr	The Roman nymph or goddess	ell	Ηγερία	f
eng	Eger	Proper noun	tr	city in Hungary	hun	Eger
eng	Egyptian	Noun	tr	person from Egypt	fra	Égyptien
eng	Egyptian	Noun	tr	person from Egypt	fra	Egyptien	m
eng	Egyptian	Noun	tr	person from Egypt	fra	Egyptienne
eng	Egyptian	Noun	tr	person from Egypt	fra	Égyptienne
eng	Egyptian	Noun	tr	person from Egypt	frm	Aegyptien	m
eng	Egyptian	Noun	tr	person from Egypt	frm	Aegyptienne	f
eng	Egyptian	Noun	tr	person from Egypt	gle	Éigipteach	m
eng	Egyptian	Noun	tr	person from Egypt	glg	exipcia	f
eng	Egyptian	Noun	tr	person from Egypt	glg	exipcio	m
eng	Egyptian	Noun	tr	person from Egypt	gmy	𐁁𐀓𐀠𐀴𐀍
eng	Egyptian	Noun	tr	person from Egypt	grc	Αἰγύπτια	f
eng	Egyptian	Noun	tr	person from Egypt	grc	Αἰγύπτιος	m
eng	Egyptian	Noun	tr	person from Egypt	haw	ʻAikupika
eng	Egyptian	Noun	tr	person from Egypt	hbs	Ègipćanin	m
eng	Egyptian	Noun	tr	person from Egypt	hbs	Ègipćānka	f
eng	Egyptian	Noun	tr	person from Egypt	hbs	Ѐгипћанин	m	sc=Cyrl
eng	Egyptian	Noun	tr	person from Egypt	hbs	Египћанка	f	sc=Cyrl
eng	Egyptian	Noun	tr	person from Egypt	heb	מִצְרִי	m	tr=mitsrí
eng	Egyptian	Noun	tr	person from Egypt	hin	मिसरी	m
eng	Egyptian	Noun	tr	person from Egypt	hun	egyiptomi
eng	Egyptian	Noun	tr	person from Egypt	hye	եգիպտացի
eng	Egyptian	Noun	tr	person from Egypt	hye	եգիպտոսցի
eng	Egyptian	Noun	tr	person from Egypt	isl	Egyptar
eng	Egyptian	Noun	tr	person from Egypt	isl	Egypti
eng	Egyptian	Noun	tr	person from Egypt	ita	egiziaco	m
eng	Egyptian	Noun	tr	person from Egypt	ita	egiziana	f
eng	Egyptian	Noun	tr	person from Egypt	ita	egiziane	f-p
eng	Egyptian	Noun	tr	person from Egypt	ita	egiziani	m-p
eng	Egyptian	Noun	tr	person from Egypt	ita	egiziano	m
eng	Egyptian	Noun	tr	person from Egypt	jpn	エジプト人	tr=ejiputojin
eng	Egyptian	Noun	tr	person from Egypt	kat	ეგვიპტელი
eng	Egyptian	Noun	tr	person from Egypt	kor	이집트 사람
eng	Egyptian	Noun	tr	person from Egypt	lav	ēģiptiete	f
eng	Egyptian	Noun	tr	person from Egypt	lav	ēģiptietis	m
eng	Egyptian	Noun	tr	person from Egypt	lit	egiptietis	m
eng	Egyptian	Noun	tr	person from Egypt	msa	Mesir
eng	Egyptian	Noun	tr	person from Egypt	msa	orang Mesir
eng	Egyptian	Noun	tr	person from Egypt	nld	Egyptenaar	m
eng	Egyptian	Noun	tr	person from Egypt	nno	egyptar	m
eng	Egyptian	Noun	tr	person from Egypt	nob	egypter	m
eng	Egyptian	Noun	tr	person from Egypt	pol	Egipcjanin	m
eng	Egyptian	Noun	tr	person from Egypt	pol	Egipcjanka	f
eng	Egyptian	Noun	tr	person from Egypt	por	egípcio
eng	Egyptian	Noun	tr	person from Egypt	ron	egipteană	f
eng	Egyptian	Noun	tr	person from Egypt	ron	egipteancă	f
eng	Egyptian	Noun	tr	person from Egypt	ron	egiptean	m
eng	Egyptian	Noun	tr	person from Egypt	rus	египтя́нин	m
eng	Egyptian	Noun	tr	person from Egypt	rus	египтя́нка	f
eng	Egyptian	Noun	tr	person from Egypt	slk	Egypťanka	f
eng	Egyptian	Noun	tr	person from Egypt	slk	Egypťan	m
eng	Egyptian	Noun	tr	person from Egypt	spa	egipcia	f
eng	Egyptian	Noun	tr	person from Egypt	spa	egipcio	m
eng	Egyptian	Noun	tr	person from Egypt	sqi	egjiptian	m
eng	Egyptian	Noun	tr	person from Egypt	swa	Mmisri
eng	Egyptian	Noun	tr	person from Egypt	swe	egyptier	m
eng	Egyptian	Noun	tr	person from Egypt	swe	egyptiska	f
eng	Egyptian	Noun	tr	person from Egypt	tur	Mısırlı
eng	Egyptian	Noun	tr	person from Egypt	vie	người Ai Cập
eng	Egyptian	Noun	tr	person from Egypt	vol	hi-Lägüptänan
eng	Egyptian	Noun	tr	person from Egypt	vol	ji-Lägüptänan
eng	Egyptian	Noun	tr	person from Egypt	vol	Lägüptänan
eng	Egyptian	Noun	tr	person from Egypt	yid	מיצרי	m
eng	Egyptian	Noun	tr	person from Egypt	yid	מיצרית	f	tr=mitsris
eng	Egyptian plover	Noun	tr	''Pluvianus aegyptius''	deu	Krokodilwächter	m
eng	Egyptian plover	Noun	tr	''Pluvianus aegyptius''	fin	krokotiilinvartija
eng	Egyptian plover	Noun	tr	''Pluvianus aegyptius''	fra	pluvian d'Égypte	m
eng	Egyptian plover	Noun	tr	''Pluvianus aegyptius''	fra	pluvian du Nil	m
eng	Egyptian plover	Noun	tr	''Pluvianus aegyptius''	fra	pluvian fluviatile	m
