	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slavonian	Adjective	tr	of or relating to Slavonia	hbs	slavonski	m	sc=Latn
eng	Slavonian	Adjective	tr	of or relating to Slavonia	hbs	славонски	m	sc=Cyrl
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	cym	gwyach glustiog	f
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	cym	gwyach gorniog	f
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	dan	nordisk lappedykker	c
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	fao	gjør	f
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	fin	mustakurkku-uikku
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	gle	foitheach cluasach	m
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	hun	füles vöcsök
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	isl	flórgoði	m
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	nob	horndykker	m
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	nrf	pouchette	f
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	nrf	p'tite pouchette	f
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	sme	čáhppesbuokča
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	smj	tjáhppisbuoktje
eng	Slavonian grebe	Noun	tr	''Podiceps auritus''	swe	svarthakedopping	c
eng	Slavonian	Noun	tr	inhabitant of Slavonia	hbs	Slavonac	m	sc=Latn
eng	Slavonian	Noun	tr	inhabitant of Slavonia	hbs	Славонац	m	sc=Cyrl
eng	Slavonian	Noun	tr	inhabitant of Slavonia	ita	schiavona	f
eng	Slavonian	Noun	tr	inhabitant of Slavonia	ita	schiavone	m
eng	Slavonia	Proper noun	tr	region of Croatia	bel	Славонія
eng	Slavonia	Proper noun	tr	region of Croatia	bul	Славония
eng	Slavonia	Proper noun	tr	region of Croatia	cat	Eslavònia
eng	Slavonia	Proper noun	tr	region of Croatia	ces	Slavonie	f
eng	Slavonia	Proper noun	tr	region of Croatia	dan	Slavonien
eng	Slavonia	Proper noun	tr	region of Croatia	deu	Slavonien	n
eng	Slavonia	Proper noun	tr	region of Croatia	deu	Slawonien	n
eng	Slavonia	Proper noun	tr	region of Croatia	epo	Slavonio
eng	Slavonia	Proper noun	tr	region of Croatia	fin	Slavonia
eng	Slavonia	Proper noun	tr	region of Croatia	fra	Slavonie	f
eng	Slavonia	Proper noun	tr	region of Croatia	gle	Slavóin	f	alt=an tSlavóin
eng	Slavonia	Proper noun	tr	region of Croatia	hbs	Slàvōnija	f
eng	Slavonia	Proper noun	tr	region of Croatia	hbs	Сла̀во̄нија	f	sc=Cyrl
eng	Slavonia	Proper noun	tr	region of Croatia	heb	סלבוניה
eng	Slavonia	Proper noun	tr	region of Croatia	hun	Szlavónia
eng	Slavonia	Proper noun	tr	region of Croatia	ita	Schiavonia	f
eng	Slavonia	Proper noun	tr	region of Croatia	ita	Slavonia	f
eng	Slavonia	Proper noun	tr	region of Croatia	lat	Sclavonia	f
eng	Slavonia	Proper noun	tr	region of Croatia	lit	Slavonija
